Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
Butch,Mixed Breed,POINT (-71.1328 42.3989),42.39890,-71.13280,North Cambridge
Baxter,Mixed Breed,POINT (-71.1186 42.3814),42.38140,-71.11860,Neighborhood Nine
Bodhi,Golden Retriever,POINT (-71.1308 42.3998),42.39980,-71.13080,North Cambridge
Ocean,Pug,POINT (-71.1087 42.3726),42.37260,-71.10870,Mid-Cambridge
Coco,Pug,POINT (-71.1022 42.361),42.36100,-71.10220,Cambridgeport
Brio,LABRADOODLE,POINT (-71.1262 42.3892),42.38920,-71.12620,Neighborhood Nine
Jolene Almeida,German Shorthaired Pointer,POINT (-71.0896 42.368),42.36800,-71.08960,Wellington-Harrington
Ruger,Labrador Retriever,POINT (-71.1353 42.3932),42.39320,-71.13530,North Cambridge
FLASH,Border Collie,POINT (-71.1305 42.3981),42.39810,-71.13050,North Cambridge
Leo,French Bulldog,POINT (-71.1415 42.3902),42.39020,-71.14150,Neighborhood Nine
Emma,Mixed Breed,POINT (-71.1247 42.3767),42.37670,-71.12470,West Cambridge
Georgie,Lhasa Apso,POINT (-71.1433 42.3752),42.37520,-71.14330,West Cambridge
Luka,Labrador Retriever,POINT (-71.1546 42.3809),42.38090,-71.15460,Strawberry Hill
Budderball,Mixed Breed,POINT (-71.1308 42.3912),42.39120,-71.13080,North Cambridge
Siena,Mixed Breed,POINT (-71.1492 42.401),42.40100,-71.14920,North Cambridge
Maggie,Belgian Malinois,POINT (-71.131 42.3903),42.39030,-71.13100,North Cambridge
Bruce,Mixed Breed,POINT (-71.1205 42.3849),42.38490,-71.12050,Baldwin
Kimber,Shih Tzu,POINT (-71.1172 42.3783),42.37830,-71.11720,Baldwin
Peekaboo Shin,Shih Tzu,POINT (-71.1003 42.3759),42.37590,-71.10030,Wellington-Harrington
Bella,Goldendoodle,POINT (-71.088 42.3752),42.37520,-71.08800,Wellington-Harrington
Coco,Pekingese,POINT (-71.1135 42.3801),42.38010,-71.11350,Baldwin
Fitz,Pomsky,POINT (-71.1191 42.382),42.38200,-71.11910,Neighborhood Nine
Ziggy,French Bulldog,POINT (-71.1326 42.3924),42.39240,-71.13260,North Cambridge
Willow,Goldendoodle,POINT (-71.1071 42.3554),42.35540,-71.10710,Cambridgeport
Frankie,Goldendoodle,POINT (-71.1006 42.3715),42.37150,-71.10060,The Port
Monty,Jack Russell Terrier,POINT (-71.1336 42.3762),42.37620,-71.13360,West Cambridge
Whitney,Lab Coonhound Mix,POINT (-71.1052 42.3612),42.36120,-71.10520,Cambridgeport
Zumi,Mixed Breed,POINT (-71.075 42.3691),42.36910,-71.07500,East Cambridge
Suki,Mixed Breed,POINT (-71.1225 42.3801),42.38010,-71.12250,Neighborhood Nine
Mia Glick,Havanese,POINT (-71.1328 42.3856),42.38560,-71.13280,Neighborhood Nine
MAGGIE,LABRADOR RETREIVER,POINT (-71.1305 42.3831),42.38310,-71.13050,Neighborhood Nine
TAXI,Cocker Spaniel,POINT (-71.1507 42.3774),42.37740,-71.15070,Strawberry Hill
Bruce,Aussie-Doodle,POINT (-71.0994 42.3603),42.36030,-71.09940,Cambridgeport
Maggie,Mixed Breed,POINT (-71.0798 42.3697),42.36970,-71.07980,East Cambridge
Bubbles,Golden Retriever,POINT (-71.1285 42.3854),42.38540,-71.12850,Neighborhood Nine
Yoshi,Mixed Breed,POINT (-71.0843 42.3638),42.36380,-71.08430,East Cambridge
Waffles,Mixed Breed,POINT (-71.0983 42.3672),42.36720,-71.09830,The Port
Riley,Mixed Breed,POINT (-71.1244 42.3824),42.38240,-71.12440,Neighborhood Nine
Stitch,Goldendoodle,POINT (-71.1174 42.3838),42.38380,-71.11740,Baldwin
CLEA,Jack Russel Terrier,POINT (-71.1363 42.3784),42.37840,-71.13630,West Cambridge
Beau,mountain cur,POINT (-71.1076 42.3703),42.37030,-71.10760,Mid-Cambridge
Bubby,Mixed Breed,POINT (-71.1448 42.391),42.39100,-71.14480,Cambridge Highlands
Roux,Cairn Teriier,POINT (-71.1069 42.3621),42.36210,-71.10690,Cambridgeport
Teddy,Mixed Breed,POINT (-71.1142 42.3615),42.36150,-71.11420,Cambridgeport
Olive,Wirehaired Pointing Griffon,POINT (-71.0996 42.3695),42.36950,-71.09960,The Port
SIMON,Miniature Dachshund,POINT (-71.1052 42.368),42.36800,-71.10520,Mid-Cambridge
Queenie,Labrador Retriever,POINT (-71.1319 42.3823),42.38230,-71.13190,Neighborhood Nine
Gus Manchester-Ennis,Golden Retriever,POINT (-71.1038 42.3697),42.36970,-71.10380,Mid-Cambridge
Luc Jean Sparandara,Poodle,POINT (-71.0953 42.3654),42.36540,-71.09530,The Port
Max,Mixed Breed,POINT (-71.0806 42.3663),42.36630,-71.08060,East Cambridge
Luna,West Highland White Terrier,POINT (-71.098 42.3719),42.37190,-71.09800,The Port
Vasuki,Labrador Retriever,POINT (-71.0892 42.364),42.36400,-71.08920,Area 2/MIT
Maple,Labradoodle,POINT (-71.1186 42.3831),42.38310,-71.11860,Neighborhood Nine
Lily,French Bulldog,POINT (-71.1111 42.382),42.38200,-71.11110,Baldwin
Zeus,Rottweiler,POINT (-71.114 42.3633),42.36330,-71.11400,Riverside
Kolsch,Miniature Schnauzer,POINT (-71.1099 42.3692),42.36920,-71.10990,Riverside
Frances,Cavapoo,POINT (-71.1049 42.3587),42.35870,-71.10490,Cambridgeport
Cody,Mixed Breed,POINT (-71.1358 42.4008),42.40080,-71.13580,North Cambridge
Bailey,Mixed Breed,POINT (-71.1101 42.3697),42.36970,-71.11010,Mid-Cambridge
